LOCALIDAD;Lon;Lat;Province
PUERTO REAL;-6.13833333;36.51805556;CADIZ
TARIFA;-5.60777778;36.01444444;CADIZ
BARBATE;-5.91694444;36.19333333;CADIZ
PUERTO REAL;-6.165;36.53527778;CADIZ
BARBATE;-5.81111194;36.22111222;CADIZ
SANLUCAR DE BARRAMEDA;-6.36111111;36.7725;CADIZ
PUERTO REAL;-6.19305556;36.53194444;CADIZ
BARRIOS (LOS);-5.49111111;36.1925;CADIZ
PUERTO REAL;-6.22416667;36.52166667;CADIZ
LOMAS (LAS);-5.87555556;36.29111111;CADIZ
SAN FERNANDO;-6.20577778;36.46191667;CADIZ
VEJER DE LA FRONTERA;-6.01444444;36.265;CADIZ
SAN FERNANDO;-6.19694444;36.46666667;CADIZ
JEREZ DE LA FRONTERA;-6.12722222;36.69555556;CADIZ
SAN FERNANDO;-6.19388889;36.47472222;CADIZ
JEREZ DE LA FRONTERA;-6.12825;36.67702778;CADIZ
SAN FERNANDO;-6.21097222;36.45727778;CADIZ
ROTA;-6.35666667;36.61722222;CADIZ
SAN FERNANDO;-6.20333333;36.47805556;CADIZ
SAN ROQUE;-5.30416667;36.2975;CADIZ
SANLUCAR DE BARRAMEDA;-6.34;36.78416667;CADIZ
VISTAHERMOSA;-6.26736389;36.58726111;CADIZ
EL PUERTO DE SANTA MARIA;-6.23472222;36.59444444;CADIZ
JEREZ DE LA FRONTERA;-6.137375;36.68483889;CADIZ
PUERTO DE SANTA MARIA (EL);-6.22305556;36.59861111;CADIZ
EL PUERTO DE SANTA MARIA;-6.25972222;36.58722222;CADIZ
VALDELAGRANA;-6.22413889;36.58030278;CADIZ
EL PUERTO DE SANTA MARIA;-6.22;36.60555556;CADIZ
ALGECIRAS;-5.45002778;36.14091667;CADIZ
PUERTO DE SANTA MARIA (EL);-6.285;36.61333333;CADIZ
LA LINEA DE LA CONCEPCION;-5.34655556;36.16280556;CADIZ
JEREZ DE LA FRONTERA;-6.14441111;36.67483611;CADIZ
EL PUERTO DE SANTA MARIA;-6.25194444;36.6;CADIZ
ALGECIRAS;-5.43930833;36.13643611;CADIZ
JEREZ DE LA FRONTERA;-6.1625;36.69333333;CADIZ
EL PUERTO DE SANTA MARIA;-6.20888889;36.62055556;CADIZ
LA PEï¿½A;-5.65879722;36.06230278;CADIZ
JEREZ DE LA FRONTERA;-6.17194444;36.65805556;CADIZ
PUERTO DE SANTA MARIA (EL);-6.19611111;36.61527778;CADIZ
JEREZ DE LA FRONTERA;-6.09964444;36.67585;CADIZ
EL PUERTO DE SANTA MARIA;-6.23222222;36.60888889;CADIZ
EL LENTISCAL;-5.758325;36.08575833;CADIZ
EL PUERTO DE SANTA MARIA;-6.22164167;36.56899444;CADIZ
LINEA DE LA CONCEPCION (LA);-5.36944444;36.16916667;CADIZ
LINEA DE LA CONCEPCION (LA);-5.34659694;36.17973278;CADIZ
SAN ROQUE;-5.38166667;36.21138889;CADIZ
PUERTO DE SANTA MARIA (EL);-6.27305556;36.60138889;CADIZ
SAN ROQUE;-5.26416667;36.3025;CADIZ
EL PUERTO DE SANTA MARIA;-6.24944722;36.61343333;CADIZ
SAN ROQUE;-5.31944444;36.28194444;CADIZ
SAN ROQUE;-5.32502778;36.24111111;CADIZ
JEREZ DE LA FRONTERA;-6.14583333;36.69694444;CADIZ
SAN ROQUE;-5.284445;36.29083528;CADIZ
JEREZ DE LA FRONTERA;-6.06388889;36.81416667;CADIZ
CHICLANA DE LA FRONTERA;-6.15055556;36.35888889;CADIZ
SAN ROQUE;-5.35833333;36.20777778;CADIZ
CADIZ;-6.28347222;36.52088889;CADIZ
CHICLANA DE LA FRONTERA;-6.1425;36.42194444;CADIZ
ESTACION DE SAN ROQUE;-5.43527778;36.20861111;CADIZ
JEREZ DE LA FRONTERA;-6.15166667;36.68333333;CADIZ
SAN FERNANDO;-6.190425;36.46848056;CADIZ
SAN FERNANDO;-6.18805556;36.47833333;CADIZ
SAN ROQUE;-5.35676111;36.27406111;CADIZ
SAN ROQUE;-5.43166667;36.22138889;CADIZ
ALGECIRAS;-5.44722222;36.13916667;CADIZ
CADIZ;-6.26638889;36.50105556;CADIZ
LOS BARRIOS;-5.43458333;36.18416667;CADIZ
TARIFA;-5.53638889;36.06222222;CADIZ
SAN ROQUE;-5.34305556;36.24194444;CADIZ
SAN ROQUE;-5.34057222;36.25626667;CADIZ
CADIZ;-6.15083333;36.42777778;CADIZ
PUERTO DE SANTA MARIA (EL);-6.25388889;36.58611111;CADIZ
CHICLANA DE LA FRONTERA;-6.15702778;36.40915278;CADIZ
CHICLANA DE LA FRONTERA;-6.14916667;36.34722222;CADIZ
PUERTO REAL;-6.18450556;36.52741389;CADIZ
VALDELAGRANA;-6.21510556;36.58498889;CADIZ
EL PUERTO DE SANTA MARIA;-6.22472222;36.59;CADIZ
BARRIOS (LOS);-5.48111111;36.17694444;CADIZ
CHICLANA DE LA FRONTERA;-6.16611111;36.35472222;CADIZ
CHICLANA DE LA FRONTERA;-6.14083333;36.44416667;CADIZ
JEREZ DE LA FRONTERA;-6.25305556;36.71;CADIZ
LOS BARRIOS;-5.42866583;36.19549694;CADIZ
Jï¿½DULA;-5.94;36.72138889;CADIZ
PAGO DEL HUMO;-6.080725;36.3751;CADIZ
JEREZ DE LA FRONTERA;-6.00833333;36.56333333;CADIZ
LA BARCA DE LA FLORIDA;-5.9325;36.65083333;CADIZ
VALLEALTO;-6.20868889;36.62732222;CADIZ
PUERTO REAL;-6.13916667;36.55;CADIZ
LOS BARRIOS;-5.55083333;36.21083333;CADIZ
EL PUERTO DE SANTA MARIA;-6.28083333;36.67583333;CADIZ
LOS BARRIOS;-5.58361111;36.25277778;CADIZ
SANCTI PETRI;-6.15835528;36.33391278;CADIZ
CHICLANA DE LA FRONTERA;-6.16361111;36.41444444;CADIZ
SERRANO;-6.26527778;36.65305556;CADIZ
PUERTO REAL;-6.23450278;36.52356667;CADIZ
CADIZ;-6.27694444;36.52305556;CADIZ
CADIZ;-6.29027833;36.53916833;CADIZ
CADIZ;-6.28333472;36.53027861;CADIZ
EL PUERTO DE SANTA MARIA;-6.23792778;36.59839444;CADIZ
CADIZ;-6.26481111;36.49421389;CADIZ
TARIFA;-5.80916667;36.09222222;CADIZ
